id_experiment,number_thought
344,5
345,4
346,3
347,3
348,4
349,1
350,2
351,1
352,4
353,8
354,6
355,4
356,4
357,6
358,7
359,7
360,5
361,3
362,5
405,1
407,8
411,5
416,2
418,4
420,9
422,5
425,3
427,8
447,3
448,8
449,6
451,7
453,3
456,5
459,1
462,8
464,1
466,3
495,1
496,7
497,3
498,4
499,1
500,6
501,3
502,2
503,2
504,3
505,3
506,2
507,6
508,9
509,5
510,8
511,7
515,2
516,4
517,3
518,8
519,3
520,6
521,9
522,1
523,9
524,3
525,4
526,4
527,7
528,6
529,1
530,5
531,5
531,8
532,2
533,9
534,2
535,1
536,3
537,3
538,1
539,6
540,7
541,5
542,7
543,3
544,5
545,5
546,7
547,2
548,5
549,5
550,1
551,2
552,4
553,2
554,5
555,2
556,7
557,5
558,3
559,2
560,7
561,4
562,7
563,7
564,4
565,7
566,3
567,5
568,4
569,6
570,4
571,3
572,3
573,3
574,3
575,3
576,1
577,3
578,6
579,2
580,4
581,3
582,7
583,3
584,2
585,9
586,6
587,7
588,8
589,5
590,6
609,3
610,5
612,2
613,3
614,8
615,2
616,2
617,8
618,5
619,1
620,5
621,7
622,4
623,8
624,7
626,7
627,3
628,7
629,1
630,4
631,8
632,5
633,6
634,6
635,5
636,3
637,7
638,7
639,1
640,7
641,4
642,5
643,5
644,5
648,9
649,8
650,5
651,7
652,6
653,5
654,1
655,1
656,4
657,3
658,3
659,6
660,5
661,5
662,6
663,1
664,2
665,2
666,2
667,6
668,8
670,4
671,6
672,6
673,3
674,3
675,3
676,7
677,9
678,2
679,5
680,2
681,2
682,7
683,8
684,2
685,3
686,9
687,7
688,4
689,7
690,5
691,2
692,4
693,9
694,2
695,7
696,9
697,5
698,6
699,2
700,9
701,5
702,3
703,3
704,7
705,8
706,8
707,6
708,7
709,7
710,6
711,9
712,7
713,8
714,7
715,3
716,3
717,7
718,7
719,4
720,6
721,3
722,9
723,3
724,9
725,5
726,7
727,6
728,5
729,3
730,6
731,6
